ds_strain_id	phylum	class	order	family	genus	species	strain_designation	source	source_catalog_number	id_RES	id_FOR	id_LIB	id_ZOC	RES_sample_number	RES_sample_name	RES_in_IAMM	RES_dna_prep	RES_ref_genome	LIB_Location_Column	LIB_Location_Box	LIB_Location_BoxNo	LIB_BoxRow	LIB_Other_Names	LIB_Source	LIB_Source_catalog_number	LIB_Note	LIB_Strain_nickname	ZOC_species	ZOC_filename	ZOC_GFC	ZOC_repository	ZOC_isolation_source	ZOC_isolation_notes
bermu	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pelagibaca	bermudensis	HTCC2601	DSMZ	26914	D20-160066-4500T	bermu	bermu		66	D20-160066-4500T	Y	bermu	GCF_000153725.1_ASM15372v1_genomic.fna.gz	1	1	7000186747	D	Salipiger bermudensis	DSMZ	26914		bermu						
bork	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	borkumensis	SK2	DSMZ	11573	D20-160061-4500T	bork	bork	Alcanivorax borkumensis SK2	61	D20-160061-4500T	Y	Bork	GCA_000009365.fna	2	8	7000186765	H		DSMZ	11573		bork	Alcanivorax borkumensis SK2	GCA_000009365	27	NCBI	SW	sw, degrade oil
bs11	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	macleodii	BS11	D Sher		D20-160029-4500T	BS11	bs11	Alteromonas macleodii str. 'Black Sea 11'	29	D20-160029-4500T	Y	BS11	GCA_000299995.fna	1	1	7000186747	E		Daniel Sher		DSM 26494 from DSMZ	BS11	Alteromonas macleodii str. 'Black Sea 11'	GCA_000299995	24	NCBI	SW	Coastal waters of Israel (Eastern Aegean)
cip	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	haloplanktis	CIP 108707	CIP	108707	D20-160049-4500T	CIP	CPI_Phaloplanktis	Pseudoalteromonas haloplanktis TAC125	49	D20-160049-4500T	Y	Cip	GCA_000026085.fna	2	6	7000186764	D	Alteromonas haloplanktis	CIP	108707		CIP	Pseudoalteromonas haloplanktis TAC125	GCA_000026085	21	NCBI	SW	seawater, Adelia Land, https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=637000217
citrea	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	citrea	none	J Christie-Oleza		D20-160039-4500T	citrea	citrea		39	D20-160039-4500T	Y	Citrea		1	2	7000186748	A	Alteromonas citrea	Joseph Christie-Oleza		DSM 8771 from DSMZ	citrea						
crono	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Cronobacter	universalis		DSMZ	27963		crono	crono	Cronobacter universalis NCTC 9529						1	5	7000186758	E		DSMZ	27963		crono	Cronobacter universalis NCTC 9529	2667527511	13	JGI	SW	Water; London, UK
cstat	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	stationis	622	DSMZ	20302	D20-160058-4500T	cstat	cstat	Corynebacterium stationis DSM 20302	58	D20-160058-4500T	Y	Cstat	2623620535.fna	1	3	7000186762	A	Brevibacterium stationis; Achromobacter stationis	DSMZ	20302		cstat	Corynebacterium stationis DSM 20302	2623620535	20	JGI	SW	water, https://www.ncbi.nlm.nih.gov/biosample/2996501; not reported
de	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	mediterranea	DE	D Sher			DE		Alteromonas mediterranea DE															Alteromonas mediterranea DE	GCA_000020585	24	NCBI	SW	seawater
de1	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	mediterranea	DE1	D Sher		D20-160030-4500T	DE1	DEI		30	D20-160030-4500T	Y	DE1	GCF_000310085.1_ASM31008v1_genomic.fna.gz	2	6	7000186764	B		Daniel Sher			DE1						
dfl-12	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Dinoroseobacter	shibae	DFL 12	DSMZ	16493	D20-160035-4500T	DFL-12	DFL12	Dinoroseobacter shibae DFL 12 = DSM 16493	35	D20-160035-4500T	Y	DFL12	GCA_000018145.fna	1	5	7000186758	F		DSMZ	16493		DFL-12	Dinoroseobacter shibae DFL 12 = DSM 16493	GCA_000018145	9	NCBI	SW	seawater, http://bacdive.dsmz.de/index.php?search=dsm%2016493
dies	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	dieselolei	B-5	DSMZ	16502	D20-160056-4500T	dies	dies	Alcanivorax dieselolei B5	56	D20-160056-4500T	Y	Dies	GCA_000300005.fna	2	8	7000186765	D		DSMZ	16502		dies	Alcanivorax dieselolei B5	GCA_000300005	27	NCBI	SW	sw, degrade oil
dsm100870					Poseidonibacter	lekithochrous	DSM 100870			D20-160086-4500T				86	D20-160086-4500T		Pois	GCF_001878855.1_ASM187885v1_genomic.fna.gz															
dsm15273					Serinicoccus	marinus	DSM 15273			D20-160072-4500T				72	D20-160072-4500T		Sma15273	GCF_008386315.1_ASM838631v1_genomic.fna.gz															
dsm15293					Halomonas	campaniensis	DSM 15293			D20-160083-4500T				83	D20-160083-4500T		15293	GCF_000696485.1_ASM69648v1_genomic.fna.gz															
dsm16067					Algoriphagus	marincola	DSM 16067			D20-160076-4500T				76	D20-160076-4500T		16067	GCF_000429405.1_ASM42940v1_genomic.fna.gz															
dsm17348					Kocuria	sp.	DSM 17348			D20-160071-4500T				71	D20-160071-4500T		17348	GCF_001942375.1_ASM194237v1_genomic.fna.gz															
dsm17526					Echinicola	vietnamensis	DSM 17526			D20-160074-4500T			Echinicola vietnamensis KMM 6221, DSM 17526	74	D20-160074-4500T		Evi17526	2509276020.fna										Echinicola vietnamensis KMM 6221, DSM 17526	2509276020	6	JGI	SW	Seawater collected in a musselfarm; Vietnam, South China Sea, Nha Trang Bay
dsm19772					Jeotgalicoccus	marinus	DSM 19772			D20-160085-4500T				85	D20-160085-4500T		Jme19772	GCF_000425825.1_ASM42582v1_genomic.fna.gz															
dsm19796					Pontibacillus	halophilus	DSM 19796			D20-160084-4500T				84	D20-160084-4500T		19796	GCF_000425205.1_ASM42520v1_genomic.fna.gz															
dsm19836					Echinicola	pacifica	DSM 19836			D20-160079-4500T				79	D20-160079-4500T		DSM 19836	GCF_000373245.1_ASM37324v1_genomic.fna.gz															
dsm19969					Microbacterium	indicum	DSM 19969			D20-160073-4500T				73	D20-160073-4500T		19969	GCF_000422385.1_ASM42238v1_genomic.fna.gz															
dsm25163					Pseudomonas	pelagia	DSM 25163			D20-160075-4500T				75	D20-160075-4500T		25163	GCF_000410875.1_KCCM90073_genomic.fna.gz															
dsm25875					Bacillus	abyssalis	DSM 25875			D20-160078-4500T				78	D20-160078-4500T		DSM 25875	GCF_002019595.1_ASM201959v1_genomic.fna.gz															
dsm29979					Domibacillus	iocasae	DSM 29979			D20-160080-4500T				80	D20-160080-4500T		Dio29979	GCF_001750285.1_ASM175028v1_genomic.fna.gz															
dsm44819					Salinispora	arenicola	DSM 44819			D20-160081-4500T				81	D20-160081-4500T		SAR44819	GCF_006716065.1_ASM671606v1_genomic.fna.gz															
dsm45222					Rhodococcus	qingshengii	DSM 45222			D20-160077-4500T				77	D20-160077-4500T		45222	GCF_002893965.1_ASM289396v1_genomic.fna.gz															
dsm8797w					Gimesia	maris	DSM 8797			D20-160088-4500T				88	D20-160088-4500T		8797W	GCF_009720545.1_ASM972054v1_genomic.fna.gz															
dsm8797y					Gimesia	maris	DSM 8797			D20-160090-4500T				90	D20-160090-4500T		8797Y	GCF_009720545.1_ASM972054v1_genomic.fna.gz															
dss-3	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	pomeroyi	DSS-3	MA Moran		D20-160042-4500T	DSS-3	dss3	Ruegeria pomeroyi DSS-3	42	D20-160042-4500T	Y	DSS-3	GCA_000011965.fna	1	2	7000186748	E	Silicibacter pomeroyi	Mary Ann Moran		DSM 15171 from DSMZ	DSS-3	Ruegeria pomeroyi DSS-3	GCA_000011965	9	NCBI	SW	estuary seawater Georgia, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4334477/#B9
eryth	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	erythropolis	none	NITE	100887	D20-160064-4500T	eryth	eryth	Rhodococcus erythropolis PR4 PR4 (= NBRC 100887)	64	D20-160064-4500T	Y	eryth	GCA_000010105.fna	1	3	7000186762	G	Corynebacterium hydrocarboclastum	NITE	100887		eryth	Rhodococcus erythropolis PR4 PR4 (= NBRC 100887)	GCA_000010105	20	NCBI	SW	seawater, http://bacmap.wishartlab.com/organisms/272
exig	Firmicutes	Bacilli	Bacillales	Bacilli	Exiguobacterium	oxidotolerans	T-2-2	DSMZ	17272		exig	exig	Exiguobacterium oxidotolerans JCM 12280						1	5	7000186758	G		DSMZ	17272		exig	Exiguobacterium oxidotolerans JCM 12280	2562617200	23	JGI	SW	Drain of a fish processing plant
fagar	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Formosa	agariphila	KMM 3901	J Christie-Oleza			Fagar	Fagr	Formosa agariphila KMM 3901						1	4	7000186757	D		Joseph Christie-Oleza			Fagar	Formosa agariphila KMM 3901	HG315671	29	OTHERS	SW	algae isolated, https://www.ncbi.nlm.nih.gov/pubmed/16403882
fang	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Fangia	hongkongensis	UST040201-002	DSMZ	21703		fang	Fang_HK	Fangia hongkongensis DSM 21703						2	6	7000186764	H		DSMZ	21703		fang	Fangia hongkongensis DSM 21703	2515154119	3	JGI	HA	?human sewage; seawater at the outlet of a sandfilter in Port Shelter, Hong Kong SAR, China
fors	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gramella	forsetii	KT0803	J Christie-Oleza		D20-160036-4500T	fors	fors	Gramella forsetii KT0803	36	D20-160036-4500T	Y	FORS	GCA_000060345.fna	1	3	7000186762	C		Joseph Christie-Oleza		DSM 17595 from DSMZ	fors	Gramella forsetii KT0803	GCA_000060345	6	NCBI	SW	seawater, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4069401/
hot1a3	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	macleodii	HOT1A3	D Sher		D20-160028-4500T	HOT1A3	hot1a3	Alteromonas macleodii HOT1A3	28	D20-160028-4500T	Y	Hot1A3	GCF_001578515.1_ASM157851v1_genomic.fna.gz	1	1	7000186747	G		Daniel Sher			HOT1A3	Alteromonas macleodii HOT1A3	2687453488	24	OTHERS	SW	seawater
hot5_b10	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	TBD	HOT5_B10	D Sher		D20-160091-4500T	HOT5_B10	HOTS_B10		91	D20-160091-4500T			GCF_002080415.1_ASM208041v1_genomic.fna.gz	1	5	7000186758	C		Daniel Sher			HOT5_B10						
hot5_b8	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	TBD	HOT5_B8	D Sher		D20-160089-4500T	HOT5_B8	HOT5_B8		89	D20-160089-4500T				2	8	7000186765	C		Daniel Sher			HOT5_B8						
hot5_c3	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	TBD	HOT5_C3	D Sher		D20-160092-4500T	HOT5_C3	HOT5_C3		92	D20-160092-4500T			GCF_002080415.1_ASM208041v1_genomic.fna.gz	1	3	7000186762	D		Daniel Sher			HOT5_C3						
hot5_e6	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	TBD	HOT5_E6	D Sher			HOT5_E6	Hot5_E6							1	4	7000186757	A		Daniel Sher			HOT5_E6						
hot5_f3	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	TBD	HOT5_F3	D Sher		D20-160093-4500T	HOT5_F3	HOT5_F3		93	D20-160093-4500T			GCF_002080415.1_ASM208041v1_genomic.fna.gz	1	4	7000186757	F		Daniel Sher			HOT5_F3						
hp15	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	adhaerens	HP15	D Sher		D20-160037-4500T	HP15	HP15	Marinobacter adhaerens HP15	37	D20-160037-4500T	Y	HP15	650377991.fna	1	5	7000186758	H		Daniel Sher		DSM 23420 from DSMZ	HP15	Marinobacter adhaerens HP15	650377991	35	JGI	SW	plankton net (0.1 mm pore size) German Wadden Sea
kordia	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Kordia	algicida	OT-1	NITE	100336	D20-160065-4500T	kordia	cordia		65	D20-160065-4500T	Y	kordia	GCF_000154725.1_ASM15472v1_genomic.fna.gz	1	1	7000186747	F		NITE	100336		kordia						
koree	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Ponticaulis	koreensis	GSW-23	DSMZ	19734		koree	koree	Ponticaulis koreensis DSM 19734						1	2	7000186748	D		DSMZ	19734		koree	Ponticaulis koreensis DSM 19734	2524614539	11	JGI	SW	Seawater
ksed	Actinobacteria	Actinobacteria	Actinomycetales	Dermacoccaceae	Kytococcus	sedentarius	541	DSMZ	20547		Ksed	Ksed	Kytococcus sedentarius 541, DSM 20547						1	4	7000186757	C	Micrococcus sedentarius	DSMZ	20547		Ksed	Kytococcus sedentarius 541, DSM 20547	644736380	20	JGI	SW	slide submerged in sea water probably in San Diego
kuro	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halobacillus	kuroshimensis	JS-Hb7	DSMZ	18393	D20-160057-4500T	kuro	kuro	Halobacillus kuroshimensis DSM 18393	57	D20-160057-4500T	Y	Kuro	2523533634.fna	2	7	7000186759	A		DSMZ	18393		kuro	Halobacillus kuroshimensis DSM 18393	2523533634	23	JGI	EX	Deep-sea carbonate rock at a methane cold seep
luca5					Loktanella	vestfoldensis	Luca5			D20-160033-4500T			Loktanella vestfoldensis strain SMR4r	33	D20-160033-4500T		Luka5	GCF_000382265.1_ASM38226v1_genomic.fna.gz										Loktanella vestfoldensis strain SMR4r	Loktanella_vestfoldensis_SMR4r	30	OTHERS	SW	baltic sea, Smarinoi associated
luca8	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	TBD	SMR8	HP Grossart			luca8	Luc18							1	4	7000186757	B		Hans-Peter Grossart			luca8						
mmb1	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	mediterranea	MMB-1	ATCC	700492	D20-160038-4500T	MMB1	nubi	Marinomonas mediterranea MMB-1, ATCC 700492	38	D20-160038-4500T	Y	MMB1	2506210002.fna	1	2	7000186748	B		ATCC	700492		MMB1	Marinomonas mediterranea MMB-1, ATCC 700492	2506210002	43	JGI	SW	Mediterranean seawater from the southeastern coast of Spain, 1995
mre600	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	MRE600	ATCC	29417	D20-160063-4500T	MRE600	MRE600	Escherichia coli MRE600	63	D20-160063-4500T	Same as MRE600?	Mre	2622736468.fna	2	6	7000186764	A		ATCC	29417		MRE600	Escherichia coli MRE600	2622736468	13	JGI	HA	?human sewage; United Kingdom
nitzsch/luca1					Sulfitobacter	pseudonitzschiae	Nitsch			D20-160070-4500T				70	D20-160070-4500T	Same as nitzsch?	Nitsch	GCF_002222635.1_ASM222263v1_genomic.fna.gz															
och114	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	denitrificans	OCh 114	D Sher			Och114																						
owen	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	hongkongensis	UST20020801	DSMZ	17368		owen	owen	Owenweeksia hongkongensis DSM 17368						2	7	7000186759	E		DSMZ	17368		owen	Owenweeksia hongkongensis DSM 17368	2508501098	10	JGI	SW	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570807/; Sea water (sand filtered); China, Hong Kong
pgall	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	gallaeciensis	none	DSMZ	26640	D20-160052-4500T	Pgall	Pgall	Phaeobacter gallaeciensis DSM 26640	52	D20-160052-4500T	Same as Pgall?	Pga11	GCA_000511385.fna	1	1	7000186747	H	Roseobacter gallaeciensis	DSMZ	26640		Pgall	Phaeobacter gallaeciensis DSM 26640	GCA_000511385	40	NCBI	SW	seawater scallop, https://www.ncbi.nlm.nih.gov/biosample/3097718
phalo	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pelagibacterium	halotolerans	B2	DSMZ	22347	D20-160054-4500T	Phalo	phalo	Pelagibacterium halotolerans B2	54	D20-160054-4500T	Y	Phalo	GCA_000026085.fna	1	2	7000186748	H		DSMZ	22347		Phalo	Pelagibacterium halotolerans B2	GCA_000230555	30	NCBI	SW	seawater, East China Sea, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3256593/
pinhib	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	inhibens	none	Roberto Kolter	17395		Pinhib	pinhibens	Phaeobacter inhibens DSM 17395						1	2	7000186748	G		Roberto Kolter	17395		Pinhib	Phaeobacter inhibens DSM 17395	GCA_000154765	40	NCBI	SW	seawater scallop, https://www.dsmz.de/catalogues/details/culture/DSM-17395.html
pr1red					Algoriphagus	machipongonensis	Pr1red			D20-160048-4500T		PRIRED		48	D20-160048-4500T	Y	Pr1r	GCF_000166275.1_ASM16627v1_genomic.fna.gz	2	6	7000186764	C		Daniel Sher		DSM 23439 from DSMZ	PR1red						
pr1white					Algoriphagus	machipongonensis	Pr1white			D20-160047-4500T		PRwhite		47	D20-160047-4500T	Y	Pr1w		2	7	7000186759	D		Daniel Sher		DSM 23439 from DSMZ	PR1white						
rbalt	Planctomycetes	Planctomycea	Planctomycetales	Planctomycetaceae	Rhodopirellula	baltica	IFAM 1310	DSMZ	10527		Rbalt	Rbalt	Rhodopirellula baltica SH 1						2	8	7000186765	G		DSMZ	10527		Rbalt	Rhodopirellula baltica SH 1	637000236	34	JGI	SW	Kieler Bucht (a fiord near the city of Kiel in Germany)
rc202 sdsmt					Enterobacter	species	RC202 SDSMT			D20-160087-4500T				87	D20-160087-4500T		RC202																
relong	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseibacterium	elongatum	OCh 323	DSMZ	19469		Relong	Rlong							2	7	7000186759	G		DSMZ	19469		Relong						
roseo	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	mucosus	SMR3	HP Grossart		D20-160041-4500T	roseo	Roseo	Roseovarius mucosus strain SMR3	41	D20-160041-4500T	Y	Roseo		1	4	7000186757	E		Hans-Peter Grossart			roseo	Roseovarius mucosus strain SMR3	Roseovarius_mucosus_SMR3	9	OTHERS	SW	baltic sea, Smarinoi associated
rsphaer	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	sphaeroides	ATH 2.4.1	ATCC	BAA-808	D20-160040-4500T	Rsphaer	Rsphaer		40	D20-160040-4500T	Y	RSpher	GCF_000012905.2_ASM1290v2_genomic.fna.gz	2	7	7000186759	H	Rhodopseudomonas sphaeroides	ATCC	BAA-808		Rsphaer						
salex	Proteobacteria	Gammaproteobacteria	Alteromonadales	Halieaceae	Haliea	salexigens	3x/A02/235	DSMZ	19537	D20-160068-4500T	salex	salex	Haliea salexigens DSM 19537	68	D20-160068-4500T	Y	Salex	2523533559.fna	2	7	7000186759	C		DSMZ	19537		salex	Haliea salexigens DSM 19537	2523533559	26	JGI	SW	surface microlayer of seawater from the bay of Banyuls-sur-Mer
salin	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Salinispora	tropica	CNB440	D Sher			salin	salin							2	8	7000186765	E	Salinospora tropicalis	Daniel Sher		DSM 44818 from DSMZ	salin						
sedthio	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Gammaproteobacteria	Sedimenticola	thiotaurini	SIP-G1	DSMZ	28581		sedthio	sedthio	Sedimenticola thiotaurini SIP-G1						2	8	7000186765	F		DSMZ	28581		sedthio	Sedimenticola thiotaurini SIP-G1	2609459601	17	JGI	SD	salt marsh sediments
serr	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Yersiniaceae	Serratia	sp.	SC 11,482	ATCC	39006	D20-160062-4500T	serr	serr	Serratia sp. ATCC 39006	62	D20-160062-4500T	Same as serr?	Ser	2526164535.fna	1	3	7000186762	B		ATCC	39006		serr	Serratia sp. ATCC 39006	2526164535	13	JGI	EX	salt marsh, https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2526164535
sflavi	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	flavimaris	SMR4y	HP Grossart		D20-160044-4500T	Sflavi	sflavi	Sphingorhabdus flavimaris strain SMR4y	44	D20-160044-4500T		SMR4y	Sphingorhabdus_flavimaris_SMR4y.fna	1	1	7000186747	A		Hans-Peter Grossart			Sflavi	Sphingorhabdus flavimaris strain SMR4y	Sphingorhabdus_flavimaris_SMR4y	28	OTHERS	SW	baltic sea, Smarinoi associated
shew					Shewanella	baltica	Shew			D20-160055-4500T				55	D20-160055-4500T	Same as shewden?	Shew																
shewden	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	denitrificans	OS217	ATCC	BAA-1090		Shewden	OS217	Shewanella denitrificans OS217						1	2	7000186748	C		ATCC	BAA-1090		Shewden	Shewanella denitrificans OS217	2524023135	21	JGI	SW	Gotland Deep an anoxic basin in the central Baltic Sea in 1986 from a depth of 120-130m
simid	Proteobacteria	Gammaproteobacteria	Cellvibrionaceae	Cellvibrionaceae	Simiduia	agarivorans	SA1	DSMZ	21679	D20-160069-4500T	simid		Simiduia agarivorans SA1	69	D20-160069-4500T	Y	Simid	GCF_000305785.2_ASM30578v2_genomic.fna.gz										Simiduia agarivorans SA1	2519103097	42	JGI	SW	Shallow coastal water
nitzsch	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	pseudonitzschiae	SMR1	HP Grossart		D20-160045-4500T	nitzsch	nitzsch	Sulfitobacter pseudonitzschiae strain SMR1	45	D20-160045-4500T		SMR1		2	7	7000186759	B		Hans-Peter Grossart		most likely this strain:  doi:10.7150/jgen.30559.	nitzsch	Sulfitobacter pseudonitzschiae strain SMR1	Sulfitobacter_pseudonitzschiae_SMR1	40	OTHERS	SW	baltic sea, Smarinoi associated
t2	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Aeromicrobium	marinum	T2	J Christie-Oleza			T2	T2							2	8	7000186765	B		Joseph Christie-Oleza		DSM 15272 from DSMZ	T2						
t6c	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Pseudoalteromonas	atlantica	T6c	ATCC	BAA-1087	D20-160053-4500T	T6c	T6c	Pseudoalteromonas atlantica T6c	53	D20-160053-4500T	Y	T6C	2606217322.fna	1	2	7000186748	F	Paraglaciecola	ATCC	BAA-1087		T6c	Pseudoalteromonas atlantica T6c	2606217322	21	JGI	SW	sea ice Arctic, http://bacmap.wishartlab.com/organisms/432
